[2024/04/22 18:55] GALDilhara		: Starts the documentation
[2024/04/25 10:12] AHGK Arochana	: Start admin author page in figma desing
[2024/04/25 12:22] AHGK Arochana	: Disscus figma issue
[2024/04/25 15:06] AHGK Arochana	: End admin author page in figma desing
[2024/04/25 20:04] AHGK Arochana	: Start admin user page in figma desing
[2024/04/25 21:13] AHGK Arochana	: End admin user page in figma desing
[2024/04/25 23:42] AHGK Arochana	: Create admin analyzing page in figma desing
[2024/04/26 08:55] AHGK Arochana	: Start Author Profile User View page in figma desing
[2024/04/26 11:02] AHGK Arochana	: End Author Profile User View page in figma desing
[2024/04/26 18:30] AHGK Arochana	: Disscus figma issue our team
[2024/04/27 08:20] AHGK Arochana	: Clone git-hub folders 
[2024/04/27 09:08] AHGK Arochana	: Start coding admin navigation bar in visual studio code
[2024/04/27 14:38] AHGK Arochana	: End coding admin navigation bar
[2024/04/27 18:30] AHGK Arochana	: Start coding admin home page
[2024/04/27 23:52] AHGK Arochana	: End coding admin home page
[2024/04/28 24:12] AHGK Arochana	: Admin home and navigation bar pull in github
[2024/04/28 09:00] AHGK Arochana	: Create admin author,user and analying page
[2024/04/30 10:22] AHGK Arochana	: Create Author Profile User View page in visual studio code
[2024/04/01 08:43] AHGK Arochana	: Author Profile User View page pull in github
[2024/04/30 13:07] GALDilhara		: Created test for create database, add tables, add test data and delete database.
[2024/04/01 13:07] GALDilhara		: Simplyfy the creation of the test database.
[2024/05/02 15:08] GALDilhara		: Add the hash functionalities to the project.
[2024/05/02 15:08] GALDilhara		: Add the hash functionalities to the project.
[2024/05/03 12:41] GALDilhara		: Updated the database with some new columns and tables to enhanse the features.
[2024/05/03 02:17] GALDilhara		: Upgrade the Database.java file to perform DBMS specific operations such as creating databases, deleting databases,etc.
[2024/05/03 22:58] GALDilhara		: Add the Random String generator to generate the salt and pepper
[2024/05/04 00:46] GALDilhara		: update the AuthorDAOImpl file to get newest database update. Write the test and fully tested the functionalities.
[2024/05/04 14:16] GALDilhara		: add new columns to the publisher, user for security reason.
